"Year","Month","Temperature"
1990,1,3.96699270694485
1990,2,1.18439197595617
1990,3,2.03643932223055
1990,4,0.951713312101494
1990,5,-0.709010604115691
1990,6,0.863410830078737
1990,7,-0.0314553670234895
1990,8,0.395139937648779
1990,9,1.28442418384064
1990,10,-0.135484035773967
1990,11,1.51872491744948
1990,12,-1.01369345068548
1991,1,-0.296071283991388
1991,2,3.25527133943359
1991,3,1.36384111548533
1991,4,0.996100005166935
1991,5,1.15795757256345
1991,6,0.50093769177588
1991,7,0.22860228300478
1991,8,0.804187299047885
1991,9,0.037642470668276
1991,10,0.119769584416391
1991,11,-1.04405310797656
1991,12,1.21532371462371
1992,1,2.26480207320426
1992,2,2.77592050665985
1992,3,1.63277571890431
1992,4,0.626021058215703
1992,5,0.751564440143449
1992,6,-0.532723767213981
1992,7,-1.50196825297295
1992,8,-1.02767299104941
1992,9,0.0324135344070477
1992,10,-0.108598595498051
1992,11,-0.916924511199562
1992,12,-0.553923528079727
1993,1,0.427806880747465
1993,2,-1.86863099686267
1993,3,0.567624918058955
1993,4,-0.307414611006151
1993,5,0.590867448424059
1993,6,-0.618898996665851
1993,7,-0.713111824634154
1993,8,0.147189319341345
1993,9,-0.823037066786876
1993,10,-0.908906250341151
1993,11,-1.42721235024823
1993,12,0.74998093334555
1994,1,-1.07431569651656
1994,2,-1.59337619610089
1994,3,1.98511388823561
1994,4,0.795432474196862
1994,5,0.289919284218787
1994,6,1.33411087201537
1994,7,0.185434593394329
1994,8,0.0760139429870549
1994,9,0.656973045752629
1994,10,0.208866884758144
1994,11,0.537737092647624
1994,12,1.96522211221395
1995,1,2.19249611079426
1995,2,1.34237678400543
1995,3,1.47461064145152
1995,4,-1.02709980089116
1995,5,-0.652392427980655
1995,6,0.0427365598100551
1995,7,0.22721373795492
1995,8,1.32584272747785
1995,9,-0.0862096103224592
1995,10,0.314348539606522
1995,11,-0.433773077094868
1995,12,-0.147000476457958
1996,1,-0.278466624813791
1996,2,0.7127611639439
1996,3,-0.995188456250035
1996,4,-0.267547673294916
1996,5,0.0507052724598118
1996,6,0.862916640917895
1996,7,-0.0616700202298764
1996,8,0.46664870822273
1996,9,-0.356041885148077
1996,10,-0.406475402470978
1996,11,-1.52552687735721
1996,12,0.643985590678193
1997,1,0.05059953844177
1997,2,1.04735981900243
1997,3,1.32719234837129
1997,4,-1.45047176587799
1997,5,-0.528519932736912
1997,6,0.207432973560123
1997,7,-0.111220521221528
1997,8,-0.119303833205826
1997,9,0.995959872796368
1997,10,-0.225442532328474
1997,11,-0.528335883488585
1997,12,0.930114761351032
1998,1,2.80956867635286
1998,2,3.3034799475212
1998,3,0.578809784467234
1998,4,0.544888432854417
1998,5,1.61736493798862
1998,6,-0.140705257927704
1998,7,1.00837878062456
1998,8,1.27380105733983
1998,9,2.25150189753928
1998,10,0.45300391308666
1998,11,1.48259409153807
1998,12,1.46961465779632
1999,1,1.89473161896621
1999,2,3.1248917801657
1999,3,1.28819365684815
1999,4,0.444659519354735
1999,5,0.468384211325102
1999,6,0.259685398985364
1999,7,0.620853079584791
1999,8,0.510038195192225
1999,9,0.270247900718215
1999,10,0.082581769116437
1999,11,3.30533935194556
1999,12,2.00101893843987
2000,1,1.82402119204192
2000,2,3.02866019091469
2000,3,3.08493175797907
2000,4,0.803026829805182
2000,5,1.45469328680258
2000,6,0.160322117353478
2000,7,0.10193996227753
2000,8,1.03238798707899
2000,9,0.365069461204986
2000,10,0.440665879124036
2000,11,-1.63330442072744
2000,12,-2.58627007877867
2001,1,1.38560366072302
2001,2,-0.255033230092575
2001,3,0.456672067903181
2001,4,1.02819999746775
2001,5,1.68725483213206
2001,6,0.594335603933432
2001,7,0.413001488519171
2001,8,1.5062677269195
2001,9,0.75012495555564
2001,10,0.187788004064522
2001,11,3.07166612950322
2001,12,2.19810739844845
2002,1,2.89348992116248
2002,2,1.67650052038087
2002,3,-0.957419331146752
2002,4,1.02471366134181
2002,5,-0.641072064760751
2002,6,1.1595001195227
2002,7,1.39112352324913
2002,8,0.662418100431638
2002,9,1.44159057500546
2002,10,-1.61226040204231
2002,11,-0.0651994135554444
2002,12,1.35040064163431
2003,1,1.47363084511938
2003,2,-1.01620292806592
2003,3,0.922217612410828
2003,4,0.15910476038777
2003,5,0.443905752415019
2003,6,0.00261999582129126
2003,7,1.08019087460266
2003,8,1.64581909328555
2003,9,0.572325806315228
2003,10,1.08646399630748
2003,11,0.149696494737411
2003,12,1.55387732566543
2004,1,-0.336226313558406
2004,2,0.227771932883089
2004,3,3.26837471825867
2004,4,0.902900355440246
2004,5,0.720849127059718
2004,6,-0.329515521350566
2004,7,-0.154155951828041
2004,8,-0.818303493771369
2004,9,0.772773327023073
2004,10,0.508217321301288
2004,11,1.11095283588582
2004,12,0.83642332571931
2005,1,1.37140951709261
2005,2,2.17938590723907
2005,3,0.694656828522956
2005,4,1.00042452908072
2005,5,-0.21613034118495
2005,6,0.789808499665583
2005,7,1.1091589343584
2005,8,0.848504499717781
2005,9,1.58715413214047
2005,10,0.78939489845145
2005,11,1.56230289092486
2005,12,0.0604534275451808
2006,1,5.3481428684939
2006,2,0.479495862563576
2006,3,1.10701199335435
2006,4,2.32711297348331
2006,5,1.38970639045568
2006,6,1.41484131829183
2006,7,1.78292410036536
2006,8,0.718826589266191
2006,9,-0.50126157631865
2006,10,-0.906677076370804
2006,11,1.35480071424095
2006,12,2.36923070610669
2007,1,1.33400073526058
2007,2,-1.12791346603038
2007,3,3.21672563723019
2007,4,-0.128356242028474
2007,5,1.28747529446413
2007,6,0.920486108729508
2007,7,0.811226491339411
2007,8,1.3313768181071
2007,9,1.01551643013516
2007,10,1.47820806819544
2007,11,0.872294663565886
2007,12,-0.122851710824874
2008,1,0.812231004800033
2008,2,0.236434079954206
2008,3,0.144371453875276
2008,4,-0.0308318293954553
2008,5,-0.464488707183381
2008,6,0.599013830590786
2008,7,0.441623560247979
2008,8,0.356382360018673
2008,9,0.471278125154249
2008,10,-0.0688051896116589
2008,11,1.16583336033795
2008,12,-0.938558959050081
2009,1,0.183734570975196
2009,2,1.40949196542031
2009,3,0.835212656584278
2009,4,0.117873389414133
2009,5,0.62319989685956
2009,6,0.0392530684099945
2009,7,-0.539306310080767
2009,8,0.105298860540879
2009,9,1.17349888379792
2009,10,-2.04993213401121
2009,11,2.47229213592513
2009,12,-1.51433371656078
2010,1,1.26454937438046
2010,2,-0.160025361146857
2010,3,2.2759545428371
2010,4,1.69244907531006
2010,5,0.259937364384685
2010,6,0.950441637542324
2010,7,0.919799236600339
2010,8,1.29185284175058
2010,9,0.920631302847678
2010,10,0.994288677448634
2010,11,0.274890131817676
2010,12,0.113018941069301
2011,1,0.176722204516663
2011,2,-0.45385826316379
2011,3,0.865778011951229
2011,4,0.334891799824729
2011,5,-0.339515156565707
2011,6,0.631799658189509
2011,7,1.44950016621489
2011,8,1.64011443952876
2011,9,1.06256582671533
2011,10,0.725248668406728
2011,11,1.2284039781025
2011,12,1.65594838668982
2012,1,3.53711692742203
2012,2,2.20609357777784
2012,3,5.21434366400782
2012,4,1.83919566077526
2012,5,1.89371734455042
2012,6,1.2768088613113
