"Year","Month","AbsoluteTemperature"
2000,5,3.94819260051187
2000,6,8.14754679892609
2000,7,12.9548544191256
2000,8,12.2105798982127
2000,9,7.39866487358449
2001,5,6.17404836560958
2001,6,9.40756183490259
2001,7,12.7400213533773
2001,8,13.10448345496
2001,9,8.56857937801742
2002,5,2.31889364060966
2002,6,9.59871370818263
2002,7,12.930731174854
2002,8,12.1141882744127
2002,9,7.92801499851755
2003,5,5.516959404929
2003,6,9.57832429798187
2003,7,12.9727854664663
2003,8,13.3320354492191
2003,9,8.80006485940776
2004,5,2.64997344734249
2004,6,8.84459505806854
2004,7,13.0910118168822
2004,8,11.5987821172281
2004,9,7.68035393363315
2005,5,5.92409444657067
2005,6,10.1152951317068
2005,7,13.1011074722727
2005,8,12.3563619605115
2005,9,8.36698712512562
2006,5,6.0241291413708
2006,6,11.0222814092638
2006,7,13.6492278019212
2006,8,12.4761767763453
2006,9,8.65823190789209
2007,5,4.3770697684759
2007,6,9.54008672888017
2007,7,13.5746400396854
2007,8,11.7090586062902
2007,9,7.23231806728121
2008,5,4.63818803380677
2008,6,9.69634329013035
2008,7,12.7860750983602
2008,8,13.2812991150578
2008,9,8.00825824470024
2009,5,2.48999571740188
2009,6,9.36959519343666
2009,7,12.5629116234479
2009,8,12.0396328916429
2009,9,9.36028971344176
2010,5,5.01920170969557
2010,6,9.67345187285959
2010,7,13.5197891422844
2010,8,13.1675446779547
2010,9,7.89518735665229
2011,5,4.54863132243505
2011,6,9.86170059104484
2011,7,12.9963726562404
2011,8,12.9391219249213
2011,9,9.06978647697635
2012,5,4.88135999621505
2012,6,10.7084783813502
2012,7,13.9180164313459
2012,8,13.4209216073734
2012,9,9.27078262671437
2013,5,5.05251794410153
2013,6,10.0138175296247
2013,7,12.9065470167222
2013,8,13.0679052071584
2013,9,9.15549358779585
2014,5,4.92207166839821
2014,6,10.3514080412169
2014,7,13.502915946472
2014,8,13.7186613230587
2014,9,7.97153055352251
2015,5,4.91450343067575
2015,6,10.4028434614375
2015,7,13.1889683573151
2015,8,12.8401726141654
2015,9,8.42795265222044
2016,5,5.85624816988615
2016,6,10.232516693484
2016,7,13.4415078390392
2016,8,13.2565594789623
2016,9,8.69690492645848
2017,5,5.23558332169694
2017,6,9.72237926742925
2017,7,13.2355003165615
2017,8,12.9188777622662
2017,9,9.11560715260086
2018,5,4.63271769783536
2018,6,9.36404971734801
2018,7,13.4306269750531
2018,8,12.5299787075387
2018,9,6.29062797837047
2019,5,4.46583397805673
2019,6,9.63718773351808
2019,7,13.2012691531362
2019,8,12.588994259421
2019,9,8.4935320939009
2020,5,4.02434751941249
2020,6,9.5011683585152
2020,7,14.0030890163225
2020,8,13.2773636807235
2020,9,8.26278624700838
2021,5,4.42120820253826
2021,6,10.5276998378562
2021,7,13.7144790259904
2021,8,13.1768859043554
2021,9,9.22673329683123
2022,5,4.40467458349988
2022,6,10.3556823127199
2022,7,13.2993546869903
2022,8,13.9085142055711
2022,9,9.89116654553256
2023,5,7.11622611097889
2023,6,11.4950396921834
2023,7,13.9989891762116
2023,8,13.5946184944321
2023,9,10.0533096456266
